Function,Threads,Time(s),FLOP/s,Memory(Bytes)
compute_attention_weights_omp,1,0.852169,634927100.84,2164260864
compute_attention_weights_omp,2,0.497849,1086805377.50,2164260864
compute_attention_weights_omp,3,0.398752,1356896645.37,2164260864
compute_attention_weights_omp,4,0.309575,1747768687.25,2164260864
compute_attention_weights_omp,5,0.255781,2115346147.25,2164260864
compute_attention_weights_omp,6,0.281060,1925088072.82,2164260864
compute_attention_weights_omp,7,0.251113,2154668813.43,2164260864
compute_attention_weights_omp,8,0.230764,2344669973.91,2164260864
compute_attention_weights_omp,9,0.217383,2488996128.11,2164260864
compute_attention_weights_omp,10,0.209951,2577100359.79,2164260864
compute_attention_weights_omp,11,0.211841,2554108714.58,2164260864
compute_attention_weights_omp,12,0.187457,2886341783.21,2164260864
compute_attention_weights_omp,13,0.187160,2890923126.36,2164260864
compute_attention_weights_omp,14,0.184336,2935212717.31,2164260864
compute_attention_weights_omp,15,0.191429,2826455235.67,2164260864
compute_attention_weights_omp,16,0.191101,2831303896.18,2164260864
compute_attention_weights_omp,17,0.179418,3015667065.85,2164260864
compute_attention_weights_omp,18,0.171246,3159577755.81,2164260864
compute_attention_weights_omp,19,0.184161,2937998104.33,2164260864
compute_attention_weights_omp,20,0.167484,3230547816.70,2164260864
compute_attention_weights_omp,21,0.175021,3091431443.42,2164260864
compute_attention_weights_omp,22,0.183534,2948035718.11,2164260864
compute_attention_weights_omp,23,0.209499,2582661035.33,2164260864
compute_attention_weights_omp,24,0.145427,3720528226.59,2164260864
compute_attention_weights_omp,25,0.161059,3359424451.51,2164260864
compute_attention_weights_omp,26,0.165844,3262490996.61,2164260864
compute_attention_weights_omp,27,0.171531,3154329747.36,2164260864
compute_attention_weights_omp,28,0.158529,3413035271.56,2164260864
compute_attention_weights_omp,29,0.150766,3588777242.84,2164260864
compute_attention_weights_omp,30,0.167566,3228966609.99,2164260864
compute_attention_weights_omp,31,0.149972,3607770070.58,2164260864
compute_attention_weights_omp,32,0.160949,3361718579.48,2164260864
compute_attention_weights_omp,33,0.145835,3710121044.03,2164260864
compute_attention_weights_omp,34,0.143781,3763121806.47,2164260864
compute_attention_weights_omp,35,0.148809,3635972121.65,2164260864
compute_attention_weights_omp,36,0.168959,3202348076.64,2164260864
compute_attention_weights_omp,37,0.173667,3115533516.37,2164260864
