Function,Threads,Time(s),FLOP/s,Memory(Bytes)
apply_causal_mask_omp,1,0.002162,970014669.41,33554432
apply_causal_mask_omp,2,0.024693,84928966.13,33554432
apply_causal_mask_omp,3,0.001468,1428400945.47,33554432
apply_causal_mask_omp,4,0.000932,2250215661.86,33554432
apply_causal_mask_omp,5,0.001278,1641062131.01,33554432
apply_causal_mask_omp,6,0.000749,2799520376.26,33554432
apply_causal_mask_omp,7,0.000617,3400113267.19,33554432
apply_causal_mask_omp,8,0.000669,3134744484.04,33554432
apply_causal_mask_omp,9,0.000623,3366281294.38,33554432
apply_causal_mask_omp,10,0.000875,2396755591.88,33554432
apply_causal_mask_omp,11,0.000650,3225556663.81,33554432
apply_causal_mask_omp,12,0.000537,3905902762.97,33554432
apply_causal_mask_omp,13,0.000542,3869816551.79,33554432
apply_causal_mask_omp,14,0.000519,4040465329.45,33554432
apply_causal_mask_omp,15,0.000495,4237039028.04,33554432
apply_causal_mask_omp,16,0.000522,4018315679.40,33554432
apply_causal_mask_omp,17,0.000427,4911274719.27,33554432
apply_causal_mask_omp,18,0.000587,3572742900.98,33554432
apply_causal_mask_omp,19,0.000439,4777888659.54,33554432
apply_causal_mask_omp,20,0.000489,4286595040.06,33554432
apply_causal_mask_omp,21,0.000484,4333050749.86,33554432
apply_causal_mask_omp,22,0.000485,4324529509.44,33554432
apply_causal_mask_omp,23,0.000556,3771909529.25,33554432
apply_causal_mask_omp,24,0.000485,4322404433.52,33554432
apply_causal_mask_omp,25,0.000497,4218749650.94,33554432
apply_causal_mask_omp,26,0.000558,3759014112.05,33554432
apply_causal_mask_omp,27,0.000487,4307587180.32,33554432
apply_causal_mask_omp,28,0.000513,4089304054.95,33554432
apply_causal_mask_omp,29,0.000508,4127683257.72,33554432
apply_causal_mask_omp,30,0.000435,4819776998.47,33554432
apply_causal_mask_omp,31,0.000542,3869816551.79,33554432
apply_causal_mask_omp,32,0.000391,5363471355.00,33554432
apply_causal_mask_omp,33,0.000406,5165057558.55,33554432
apply_causal_mask_omp,34,0.000529,3963989644.98,33554432
apply_causal_mask_omp,35,0.000425,4933310724.74,33554432
apply_causal_mask_omp,36,0.000400,5242010144.34,33554432
apply_causal_mask_omp,37,0.000481,4358817156.69,33554432
apply_causal_mask_omp,38,0.000484,4333050749.86,33554432
apply_causal_mask_omp,39,0.000486,4313924974.11,33554432
apply_causal_mask_omp,40,0.000527,3980132589.23,33554432
apply_causal_mask_omp,41,0.000484,4333050749.86,33554432
apply_causal_mask_omp,42,0.000584,3590242049.88,33554432
apply_causal_mask_omp,43,0.000393,5337435086.29,33554432
apply_causal_mask_omp,44,0.000539,3890355162.41,33554432
apply_causal_mask_omp,45,0.000445,4713876217.69,33554432
