Function,Threads,Time(s),FLOP/s,Memory(Bytes)
compute_output_omp,1,0.246001,1091196581.95,25165824
compute_output_omp,2,0.198040,1355460737.31,25165824
compute_output_omp,3,0.184558,1454476279.78,25165824
compute_output_omp,4,0.169664,1582157837.57,25165824
compute_output_omp,5,0.162810,1648766693.19,25165824
compute_output_omp,6,0.178065,1507513341.67,25165824
compute_output_omp,7,0.167042,1606993622.61,25165824
compute_output_omp,8,0.144058,1863384721.94,25165824
compute_output_omp,9,0.150991,1777824650.55,25165824
compute_output_omp,10,0.138661,1935913015.17,25165824
compute_output_omp,11,0.147320,1822124609.52,25165824
compute_output_omp,12,0.135781,1976972902.60,25165824
compute_output_omp,13,0.154983,1732033792.80,25165824
compute_output_omp,14,0.121880,2202455989.69,25165824
compute_output_omp,15,0.088994,3016331179.86,25165824
compute_output_omp,16,0.101082,2655618469.38,25165824
compute_output_omp,17,0.077342,3470768374.49,25165824
compute_output_omp,18,0.069409,3867450439.48,25165824
compute_output_omp,19,0.065199,4117177788.82,25165824
compute_output_omp,20,0.073400,3657169653.98,25165824
compute_output_omp,21,0.073224,3665945698.94,25165824
compute_output_omp,22,0.071484,3755177692.54,25165824
compute_output_omp,23,0.060194,4459504051.31,25165824
compute_output_omp,24,0.052478,5115192503.91,25165824
compute_output_omp,25,0.060659,4425324487.83,25165824
compute_output_omp,26,0.065332,4108778850.11,25165824
compute_output_omp,27,0.061123,4391733394.35,25165824
compute_output_omp,28,0.068911,3895402624.76,25165824
compute_output_omp,29,0.041587,6454774761.32,25165824
compute_output_omp,30,0.041214,6513212160.09,25165824
compute_output_omp,31,0.050474,5318299253.40,25165824
compute_output_omp,32,0.046268,5801723702.32,25165824
compute_output_omp,33,0.041875,6410379970.29,25165824
compute_output_omp,34,0.044712,6003646802.97,25165824
compute_output_omp,35,0.045485,5901623388.66,25165824
compute_output_omp,36,0.050645,5300347927.89,25165824
compute_output_omp,37,0.047880,5606429078.55,25165824
compute_output_omp,38,0.062140,4319850467.87,25165824
compute_output_omp,39,0.047512,5649838954.45,25165824
compute_output_omp,40,0.041660,6443471009.49,25165824
compute_output_omp,41,0.044680,6007971712.22,25165824
compute_output_omp,42,0.051047,5258609786.01,25165824
compute_output_omp,43,0.036333,7388230977.17,25165824
compute_output_omp,44,0.044445,6039749520.39,25165824
compute_output_omp,45,0.043297,6199855214.69,25165824
compute_output_omp,46,0.039131,6859931070.71,25165824
compute_output_omp,47,0.039195,6848706214.52,25165824
compute_output_omp,48,0.046454,5778527765.28,25165824
compute_output_omp,49,0.041081,6534304706.99,25165824
compute_output_omp,50,0.039060,6872409078.02,25165824
compute_output_omp,51,0.034906,7690205433.09,25165824
compute_output_omp,52,0.041981,6394215769.12,25165824
compute_output_omp,53,0.042123,6372645600.97,25165824
compute_output_omp,54,0.032292,8312721269.04,25165824
compute_output_omp,55,0.037689,7122387583.69,25165824
compute_output_omp,56,0.036060,7444163196.66,25165824
compute_output_omp,57,0.034713,7732988364.06,25165824
compute_output_omp,58,0.028346,9469938320.85,25165824
compute_output_omp,59,0.033789,7944481811.75,25165824
compute_output_omp,60,0.032568,8242312641.60,25165824
compute_output_omp,61,0.032787,8187231632.30,25165824
compute_output_omp,62,0.035872,7483150825.10,25165824
compute_output_omp,63,0.027632,9714659627.45,25165824
compute_output_omp,64,0.027205,9867140262.94,25165824
compute_output_omp,65,0.043234,6208915531.62,25165824
compute_output_omp,66,0.044245,6067022889.92,25165824
compute_output_omp,67,0.033426,8030727086.80,25165824
compute_output_omp,68,0.031871,8422540203.94,25165824
compute_output_omp,69,0.024744,10848596656.90,25165824
compute_output_omp,70,0.024431,10987497993.02,25165824
compute_output_omp,71,0.025771,10416222505.51,25165824
compute_output_omp,72,0.024249,11069924753.63,25165824
compute_output_omp,73,0.023919,11222749587.26,25165824
compute_output_omp,74,0.030270,8868076864.88,25165824
compute_output_omp,75,0.026972,9952442426.65,25165824
compute_output_omp,76,0.027096,9906904713.17,25165824
compute_output_omp,77,0.025164,10667486918.78,25165824
compute_output_omp,78,0.031777,8447438209.24,25165824
compute_output_omp,79,0.027988,9591024072.06,25165824
compute_output_omp,80,0.021816,12304513588.00,25165824
compute_output_omp,81,0.024980,10746088275.06,25165824
compute_output_omp,82,0.024572,10924385151.24,25165824
compute_output_omp,83,0.023999,11185288020.37,25165824
compute_output_omp,84,0.023643,11353688833.30,25165824
compute_output_omp,85,0.027668,9702019051.10,25165824
compute_output_omp,86,0.025940,10348344732.01,25165824
compute_output_omp,87,0.029456,9113130281.13,25165824
compute_output_omp,88,0.020384,13168882029.11,25165824
compute_output_omp,89,0.037531,7152385442.67,25165824
compute_output_omp,90,0.021938,12236180438.22,25165824
compute_output_omp,91,0.021617,12417694105.40,25165824
compute_output_omp,92,0.029190,9196199547.85,25165824
compute_output_omp,93,0.019242,13950634486.19,25165824
compute_output_omp,94,0.022917,11713360315.05,25165824
compute_output_omp,95,0.021044,12755904456.38,25165824
compute_output_omp,96,0.019165,14006517551.29,25165824
compute_output_omp,97,0.020483,13105269425.02,25165824
compute_output_omp,98,0.018542,14477117522.50,25165824
compute_output_omp,99,0.017461,15373375573.04,25165824
compute_output_omp,100,0.020846,12877140549.93,25165824
compute_output_omp,101,0.022252,12063385621.68,25165824
compute_output_omp,102,0.019649,13661512690.11,25165824
compute_output_omp,103,0.025053,10714692680.27,25165824
compute_output_omp,104,0.016613,16158150213.01,25165824
compute_output_omp,105,0.019563,13721617818.27,25165824
compute_output_omp,106,0.017554,15291943265.96,25165824
compute_output_omp,107,0.016434,16334197606.85,25165824
compute_output_omp,108,0.025509,10523117464.16,25165824
compute_output_omp,109,0.019088,14063025778.38,25165824
compute_output_omp,110,0.018270,14692677891.72,25165824
compute_output_omp,111,0.015560,17251733859.04,25165824
compute_output_omp,112,0.015660,17141420258.55,25165824
compute_output_omp,113,0.023882,11240115674.09,25165824
compute_output_omp,114,0.018930,14180456772.75,25165824
compute_output_omp,115,0.017271,15542516659.89,25165824
compute_output_omp,116,0.018317,14655002887.56,25165824
compute_output_omp,117,0.024949,10759335526.57,25165824
compute_output_omp,118,0.020691,12973439037.19,25165824
compute_output_omp,119,0.014643,18331757902.29,25165824
compute_output_omp,120,0.017638,15219182563.20,25165824
compute_output_omp,121,0.015140,17730148764.49,25165824
compute_output_omp,122,0.027000,9942072186.59,25165824
compute_output_omp,123,0.014710,18248564083.81,25165824
compute_output_omp,124,0.014726,18228768830.93,25165824
compute_output_omp,125,0.014165,18950715458.87,25165824
compute_output_omp,126,0.014056,19097615246.25,25165824
compute_output_omp,127,0.014788,18152063761.05,25165824
compute_output_omp,128,0.014206,18895693661.87,25165824
compute_output_omp,129,0.013540,19825322794.86,25165824
compute_output_omp,130,0.016130,16642030136.32,25165824
compute_output_omp,131,0.013270,20228532795.10,25165824
compute_output_omp,132,0.014430,18602536297.05,25165824
compute_output_omp,133,0.015526,17289352234.19,25165824
compute_output_omp,134,0.013867,19357998467.09,25165824
compute_output_omp,135,0.012881,20839964218.02,25165824
compute_output_omp,136,0.014583,18407584514.72,25165824
compute_output_omp,137,0.015240,17613928237.08,25165824
compute_output_omp,138,0.014272,18808571638.34,25165824
compute_output_omp,139,0.014191,18915693472.04,25165824
compute_output_omp,140,0.012519,21442445091.08,25165824
compute_output_omp,141,0.014260,18824609711.46,25165824
compute_output_omp,142,0.013906,19303567994.42,25165824
compute_output_omp,143,0.017734,15136725374.99,25165824
compute_output_omp,144,0.012224,21959780516.13,25165824
compute_output_omp,145,0.017307,15510185929.97,25165824
compute_output_omp,146,0.015324,17517463115.81,25165824
compute_output_omp,147,0.016941,15845470506.55,25165824
compute_output_omp,148,0.013404,20026679239.46,25165824
compute_output_omp,149,0.014050,19105717068.43,25165824
compute_output_omp,150,0.012425,21604557447.95,25165824
compute_output_omp,151,0.012385,21674429346.68,25165824
compute_output_omp,152,0.020004,13419066145.94,25165824
compute_output_omp,153,0.012146,22100736236.70,25165824
compute_output_omp,154,0.017890,15004796455.60,25165824
compute_output_omp,155,0.011230,23903441612.73,25165824
compute_output_omp,156,0.016239,16530368176.10,25165824
compute_output_omp,157,0.011956,22451989288.34,25165824
compute_output_omp,158,0.015777,17014490907.81,25165824
compute_output_omp,159,0.014176,18935735663.95,25165824
compute_output_omp,160,0.015451,17373389915.17,25165824
compute_output_omp,161,0.012734,21080320292.88,25165824
compute_output_omp,162,0.016354,16414210004.56,25165824
compute_output_omp,163,0.012766,21027171665.75,25165824
compute_output_omp,164,0.012638,21240188402.55,25165824
compute_output_omp,165,0.012017,22337954225.79,25165824
compute_output_omp,166,0.012346,21743074945.78,25165824
compute_output_omp,167,0.015074,17807827708.07,25165824
compute_output_omp,168,0.026453,10147630568.56,25165824
compute_output_omp,169,0.011858,22637524264.97,25165824
compute_output_omp,170,0.010544,25459024666.30,25165824
compute_output_omp,171,0.025601,10485387200.75,25165824
compute_output_omp,172,0.012231,21947366605.12,25165824
compute_output_omp,173,0.024319,11038017949.09,25165824
compute_output_omp,174,0.025761,10420271421.69,25165824
compute_output_omp,175,0.009961,26948298392.60,25165824
compute_output_omp,176,0.011219,23926808628.92,25165824
compute_output_omp,177,0.012873,20852315198.77,25165824
compute_output_omp,178,0.012649,21222172296.43,25165824
compute_output_omp,179,0.011454,23435741785.16,25165824
compute_output_omp,180,0.013677,19626606471.47,25165824
compute_output_omp,181,0.015419,17409387475.92,25165824
compute_output_omp,182,0.010809,24834566499.97,25165824
compute_output_omp,183,0.011797,22754646460.04,25165824
compute_output_omp,184,0.010835,24775000700.68,25165824
compute_output_omp,185,0.011182,24005882749.68,25165824
compute_output_omp,186,0.011931,22499098893.78,25165824
compute_output_omp,187,0.011001,24400760843.54,25165824
compute_output_omp,188,0.014299,18773133471.88,25165824
compute_output_omp,189,0.008292,32372981018.51,25165824
compute_output_omp,190,0.010375,25873239885.16,25165824
compute_output_omp,191,0.011784,22779506875.79,25165824
compute_output_omp,192,0.013573,19777264783.20,25165824
compute_output_omp,193,0.012410,21630706554.01,25165824
compute_output_omp,194,0.012261,21893592868.25,25165824
compute_output_omp,195,0.010309,26038990421.67,25165824
compute_output_omp,196,0.009702,27668147023.88,25165824
compute_output_omp,197,0.010238,26219694623.85,25165824
compute_output_omp,198,0.008809,30473378267.32,25165824
compute_output_omp,199,0.012671,21185035691.16,25165824
compute_output_omp,200,0.011963,22439012811.76,25165824
compute_output_omp,201,0.012982,20677304491.06,25165824
compute_output_omp,202,0.007820,34327263234.93,25165824
compute_output_omp,203,0.013528,19843142524.54,25165824
compute_output_omp,204,0.010946,24523532635.81,25165824
compute_output_omp,205,0.009813,27354889740.83,25165824
compute_output_omp,206,0.010910,24604456006.18,25165824
compute_output_omp,207,0.009541,28134836994.42,25165824
compute_output_omp,208,0.013549,19812414775.16,25165824
compute_output_omp,209,0.009604,27950447019.58,25165824
compute_output_omp,210,0.009226,29095276296.42,25165824
compute_output_omp,211,0.009568,28055615530.20,25165824
compute_output_omp,212,0.008276,32435466318.35,25165824
compute_output_omp,213,0.017931,14970480624.97,25165824
compute_output_omp,214,0.008845,30349342467.05,25165824
compute_output_omp,215,0.012964,20706205183.31,25165824
compute_output_omp,216,0.010347,25942991931.67,25165824
compute_output_omp,217,0.009773,27467672770.01,25165824
compute_output_omp,218,0.008149,32941277007.60,25165824
compute_output_omp,219,0.010436,25721920562.06,25165824
