Function,Threads,Time(s),FLOP/s,Memory(Bytes)
linear_layer_omp,1,0.390034,2064707070.71,29458432
linear_layer_omp,2,0.196847,4091027669.01,29458432
linear_layer_omp,3,0.251909,3196817398.49,29458432
linear_layer_omp,4,0.196847,4091027669.01,29458432
linear_layer_omp,5,0.186398,4320358809.08,29458432
linear_layer_omp,6,0.188773,4266000465.45,29458432
linear_layer_omp,7,0.185446,4342537795.56,29458432
linear_layer_omp,8,0.163777,4917094493.66,29458432
linear_layer_omp,9,0.155041,5194151708.74,29458432
linear_layer_omp,10,0.159112,5061255507.53,29458432
linear_layer_omp,11,0.144507,5572787137.11,29458432
linear_layer_omp,12,0.162437,4957654695.41,29458432
linear_layer_omp,13,0.157524,5112281494.90,29458432
linear_layer_omp,14,0.167093,4819508789.50,29458432
linear_layer_omp,15,0.144370,5578069731.29,29458432
linear_layer_omp,16,0.119757,6724507055.64,29458432
linear_layer_omp,17,0.129963,6196420360.35,29458432
linear_layer_omp,18,0.130806,6156495553.60,29458432
linear_layer_omp,19,0.112052,7186900975.63,29458432
linear_layer_omp,20,0.109312,7367056689.78,29458432
linear_layer_omp,21,0.097151,8289240503.90,29458432
linear_layer_omp,22,0.093643,8599754359.53,29458432
linear_layer_omp,23,0.087968,9154526094.69,29458432
linear_layer_omp,24,0.102641,7845846582.47,29458432
linear_layer_omp,25,0.083009,9701433861.90,29458432
linear_layer_omp,26,0.075839,10618625179.28,29458432
linear_layer_omp,27,0.090785,8870475656.62,29458432
linear_layer_omp,28,0.070131,11482876891.56,29458432
linear_layer_omp,29,0.090138,8934153614.79,29458432
linear_layer_omp,30,0.078031,10320362132.48,29458432
linear_layer_omp,31,0.059415,13553954673.79,29458432
linear_layer_omp,32,0.067631,11907354522.16,29458432
linear_layer_omp,33,0.064488,12487706097.00,29458432
linear_layer_omp,34,0.067140,11994459333.21,29458432
linear_layer_omp,35,0.057424,14023905537.93,29458432
linear_layer_omp,36,0.066638,12084793275.59,29458432
linear_layer_omp,37,0.073615,10939422084.59,29458432
linear_layer_omp,38,0.059385,13560811153.65,29458432
linear_layer_omp,39,0.060879,13227984571.96,29458432
linear_layer_omp,40,0.062244,12937858745.43,29458432
linear_layer_omp,41,0.067457,11938076662.58,29458432
linear_layer_omp,42,0.059202,13602698714.63,29458432
linear_layer_omp,43,0.059387,13560321175.04,29458432
linear_layer_omp,44,0.053107,15163839335.78,29458432
linear_layer_omp,45,0.059631,13504802749.69,29458432
linear_layer_omp,46,0.046442,17340033063.62,29458432
linear_layer_omp,47,0.042031,19159796702.77,29458432
linear_layer_omp,48,0.062372,12911350692.18,29458432
linear_layer_omp,49,0.051792,15548884461.83,29458432
linear_layer_omp,50,0.042045,19153386563.81,29458432
linear_layer_omp,51,0.043071,18697169272.18,29458432
linear_layer_omp,52,0.043820,18377538673.67,29458432
linear_layer_omp,53,0.044691,18019492019.23,29458432
linear_layer_omp,54,0.052716,15276312918.76,29458432
linear_layer_omp,55,0.044074,18271663532.01,29458432
linear_layer_omp,56,0.050654,15898199740.79,29458432
linear_layer_omp,57,0.042006,19171215196.03,29458432
linear_layer_omp,58,0.043560,18487278442.33,29458432
linear_layer_omp,59,0.044882,17942818625.05,29458432
linear_layer_omp,60,0.045839,17568121378.15,29458432
linear_layer_omp,61,0.035475,22700662803.55,29458432
linear_layer_omp,62,0.045725,17611907711.91,29458432
linear_layer_omp,63,0.043723,18418324647.89,29458432
linear_layer_omp,64,0.040289,19988281260.52,29458432
linear_layer_omp,65,0.039712,20278689996.20,29458432
linear_layer_omp,66,0.040898,19690564364.53,29458432
linear_layer_omp,67,0.044604,18054648338.85,29458432
linear_layer_omp,68,0.038626,20848711317.37,29458432
linear_layer_omp,69,0.042156,19103015697.36,29458432
linear_layer_omp,70,0.039817,20225262392.09,29458432
linear_layer_omp,71,0.037853,21274570411.53,29458432
linear_layer_omp,72,0.038276,21039483499.72,29458432
linear_layer_omp,73,0.031973,25186978267.24,29458432
linear_layer_omp,74,0.037127,21690575002.43,29458432
linear_layer_omp,75,0.041959,19192675227.02,29458432
linear_layer_omp,76,0.036140,22282986901.66,29458432
linear_layer_omp,77,0.030713,26220305236.20,29458432
linear_layer_omp,78,0.035404,22746218529.43,29458432
linear_layer_omp,79,0.046963,17147685874.63,29458432
linear_layer_omp,80,0.039751,20258743105.70,29458432
linear_layer_omp,81,0.035529,22666083213.85,29458432
linear_layer_omp,82,0.036081,22319355869.61,29458432
linear_layer_omp,83,0.031236,25781408871.85,29458432
linear_layer_omp,84,0.042023,19163492630.24,29458432
linear_layer_omp,85,0.037011,21758482056.53,29458432
linear_layer_omp,86,0.036003,22367835401.85,29458432
linear_layer_omp,87,0.028236,28520642747.01,29458432
linear_layer_omp,88,0.033161,24284623551.48,29458432
linear_layer_omp,89,0.038800,20755318150.71,29458432
linear_layer_omp,90,0.034530,23321823658.96,29458432
linear_layer_omp,91,0.034682,23219697392.04,29458432
linear_layer_omp,92,0.038346,21001024158.47,29458432
linear_layer_omp,93,0.030640,26282737449.06,29458432
linear_layer_omp,94,0.029349,27438888378.69,29458432
linear_layer_omp,95,0.039941,20162482513.12,29458432
linear_layer_omp,96,0.032890,24484778802.10,29458432
linear_layer_omp,97,0.039562,20355559228.18,29458432
linear_layer_omp,98,0.024803,32468203905.83,29458432
linear_layer_omp,99,0.034930,23054869190.74,29458432
linear_layer_omp,100,0.033786,23835463665.17,29458432
linear_layer_omp,101,0.029707,27108344466.52,29458432
linear_layer_omp,102,0.027678,29095526923.32,29458432
linear_layer_omp,103,0.022983,35039105796.05,29458432
linear_layer_omp,104,0.029912,26922522880.02,29458432
linear_layer_omp,105,0.035011,23001489444.99,29458432
linear_layer_omp,106,0.029586,27219099550.56,29458432
linear_layer_omp,107,0.026757,30097032982.51,29458432
linear_layer_omp,108,0.036491,22068535627.90,29458432
linear_layer_omp,109,0.030025,26821189833.78,29458432
linear_layer_omp,110,0.042355,19013226684.65,29458432
linear_layer_omp,111,0.033154,24289862651.04,29458432
linear_layer_omp,112,0.030504,26400035332.36,29458432
linear_layer_omp,113,0.021813,36918785884.01,29458432
linear_layer_omp,114,0.024531,32827941418.86,29458432
linear_layer_omp,115,0.031659,25436975912.76,29458432
linear_layer_omp,116,0.027899,28865034315.76,29458432
linear_layer_omp,117,0.034980,23021870134.53,29458432
linear_layer_omp,118,0.026694,30168268881.66,29458432
linear_layer_omp,119,0.019913,40440838587.77,29458432
linear_layer_omp,120,0.026829,30016259991.01,29458432
linear_layer_omp,121,0.024160,33332014807.60,29458432
linear_layer_omp,122,0.035587,22629334462.41,29458432
linear_layer_omp,123,0.028964,27803659087.02,29458432
linear_layer_omp,124,0.036833,21863690751.63,29458432
linear_layer_omp,125,0.031620,25468430969.95,29458432
linear_layer_omp,126,0.031253,25767444695.98,29458432
linear_layer_omp,127,0.021726,37066663599.76,29458432
linear_layer_omp,128,0.033950,23720467713.47,29458432
