Function,Threads,Time(s),FLOP/s,Memory(Bytes)
softmax_omp,1,0.030922,678208504.67,33554432
softmax_omp,2,0.052821,397030563.37,33554432
softmax_omp,3,0.046384,452127382.93,33554432
softmax_omp,4,0.034067,615593543.35,33554432
softmax_omp,5,0.028379,738974974.77,33554432
softmax_omp,6,0.012872,1629237997.04,33554432
softmax_omp,7,0.040072,523346443.96,33554432
softmax_omp,8,0.026294,797578367.16,33554432
softmax_omp,9,0.018023,1163596716.96,33554432
softmax_omp,10,0.017445,1202144734.48,33554432
softmax_omp,11,0.026817,782020912.54,33554432
softmax_omp,12,0.008683,2415248365.47,33554432
softmax_omp,13,0.013995,1498508155.54,33554432
softmax_omp,14,0.010861,1930915621.51,33554432
softmax_omp,15,0.012026,1743872526.21,33554432
softmax_omp,16,0.021088,994481907.34,33554432
softmax_omp,17,0.008460,2478889928.48,33554432
softmax_omp,18,0.009391,2233134383.26,33554432
softmax_omp,19,0.008834,2373921955.63,33554432
softmax_omp,20,0.008663,2420831986.30,33554432
softmax_omp,21,0.010835,1935546929.74,33554432
softmax_omp,22,0.011815,1774980430.67,33554432
softmax_omp,23,0.008759,2394276504.49,33554432
softmax_omp,24,0.007295,2874728094.06,33554432
softmax_omp,25,0.007292,2875949982.74,33554432
softmax_omp,26,0.007250,2892690417.72,33554432
softmax_omp,27,0.007317,2866110466.67,33554432
softmax_omp,28,0.007278,2881508557.36,33554432
softmax_omp,29,0.006814,3077709245.00,33554432
softmax_omp,30,0.017145,1223174577.57,33554432
softmax_omp,31,0.005985,3504000725.89,33554432
softmax_omp,32,0.006279,3339950266.63,33554432
softmax_omp,33,0.004922,4260847230.29,33554432
softmax_omp,34,0.004950,4236630874.78,33554432
softmax_omp,35,0.004901,4279087868.36,33554432
softmax_omp,36,0.004869,4307165322.79,33554432
softmax_omp,37,0.004906,4274720815.57,33554432
softmax_omp,38,0.015119,1387111952.16,33554432
softmax_omp,39,0.004879,4298325362.69,33554432
softmax_omp,40,0.004982,4209462587.20,33554432
softmax_omp,41,0.004960,4228077784.18,33554432
softmax_omp,42,0.004970,4219559158.69,33554432
softmax_omp,43,0.005090,4120142874.24,33554432
softmax_omp,44,0.004977,4213697256.15,33554432
softmax_omp,45,0.004953,4233979794.08,33554432
softmax_omp,46,0.004956,4231535585.80,33554432
softmax_omp,47,0.004935,4249525591.67,33554432
softmax_omp,48,0.004959,4228890876.06,33554432
softmax_omp,49,0.004493,4667600436.30,33554432
softmax_omp,50,0.012695,1651941522.00,33554432
softmax_omp,51,0.003822,5487269508.55,33554432
softmax_omp,52,0.003804,5513063630.34,33554432
softmax_omp,53,0.003905,5370348020.15,33554432
softmax_omp,54,0.003944,5317430191.15,33554432
softmax_omp,55,0.003495,6000472762.27,33554432
softmax_omp,56,0.003483,6021009666.79,33554432
softmax_omp,57,0.003453,6073391577.86,33554432
softmax_omp,58,0.003494,6002110557.63,33554432
softmax_omp,59,0.003686,5689581515.01,33554432
softmax_omp,60,0.003362,6237921439.76,33554432
softmax_omp,61,0.023293,900335014.25,33554432
softmax_omp,62,0.003557,5895899874.13,33554432
softmax_omp,63,0.003427,6119446933.50,33554432
softmax_omp,64,0.003315,6326303957.28,33554432
softmax_omp,65,0.002965,7073088631.56,33554432
softmax_omp,66,0.002711,7735549223.65,33554432
softmax_omp,67,0.002564,8179368627.68,33554432
softmax_omp,68,0.002592,8091337523.88,33554432
softmax_omp,69,0.002559,8194608740.64,33554432
softmax_omp,70,0.002896,7241966920.97,33554432
